state,,total incident,,,total killed,total injured,KDI state
Pennsylvania,Tennessee,2172,1,0,635,1188,0.84
California,Nebraska,4588,0,0,1423,1953,0.74
Ohio,Nebraska,2701,0,1,700,1517,0.82
Colorado,Pennsylvania,809,0,1,199,300,0.62
North Carolina,New Mexico,2141,0,0,556,1153,0.80
Oklahoma,Virginia,866,0,1,249,384,0.73
New Mexico,New Mexico,448,0,0,125,141,0.59
Louisiana,New Mexico,1987,0,0,549,1184,0.87
Maryland,Ohio,1579,0,1,480,855,0.85
Tennessee,Indiana,1874,0,0,495,1198,0.90
Missouri,Indiana,1730,0,0,609,921,0.88
District of Columbia,Texas,1142,0,0,100,340,0.39
Illinois,Texas,5089,0,0,959,3629,0.90
Delaware,Indiana,389,0,1,56,241,0.76
Utah,Mississippi,224,0,1,70,110,0.80
Michigan,Virginia,1360,0,2,369,771,0.84
Georgia,Indiana,1994,0,0,658,1057,0.86
Indiana,New Jersey,1483,0,3,407,737,0.77
Mississippi,Pennsylvania,1029,1,0,324,593,0.89
New York,New York,2031,0,1,347,1092,0.71
Florida,Maryland,4156,0,1,950,1801,0.66
Washington,California,881,0,0,230,352,0.66
South Carolina,Florida,1721,0,7,395,791,0.69
Arizona,South Carolina,587,0,1,289,298,1.00
Kentucky,New York,1030,0,1,273,517,0.77
New Jersey,Virginia,1342,0,1,275,663,0.70
Virginia,South Carolina,1473,0,0,385,939,0.90
Wisconsin,Louisiana,1369,3,0,209,519,0.53
Rhode Island,Colorado,191,0,1,11,79,0.47
Texas,Georgia,2875,0,1,1169,1565,0.95
Alabama,Florida,1461,0,0,544,856,0.96
Kansas,Colorado,578,0,2,152,264,0.72
Connecticut,New York,780,0,1,89,293,0.49
West Virginia,Florida,390,0,1,81,156,0.61
Minnesota,Illinois,759,0,0,115,282,0.52
Nevada,Indiana,437,0,0,200,218,0.96
Nebraska,Florida,439,0,0,47,152,0.45
Massachusetts,Kentucky,1761,0,0,128,456,0.33
Hawaii,Florida,68,0,0,8,20,0.41
New Hampshire,New York,206,0,1,23,30,0.26
Iowa,Louisiana,586,0,0,71,229,0.51
Alaska,Michigan,317,2,0,69,70,0.44
Arkansas,Mississippi,820,0,5,216,437,0.80
Idaho,Iowa,163,1,0,47,34,0.50
Oregon,California,511,1,0,99,170,0.53
Wyoming,California,91,1,0,9,13,0.24
Maine,Washington,203,0,0,33,36,0.34
North Dakota,Texas,133,1,1,15,33,0.36
Montana,North Carolina,167,0,0,41,33,0.44
Vermont,Texas,71,1,0,9,11,0.28
South Dakota,New York,199,0,0,19,21,0.20
,New York,,0,0,,,
,New York,,0,1,,,
,Georgia,,1,0,,,
,Florida,,0,0,,,
,Indiana,,0,0,,,
,North Carolina,,0,1,,,
,Wisconsin,,0,0,,,
,Maryland,,1,0,,,
,Florida,,0,2,,,
,Florida,,0,0,,,
,Florida,,0,1,,,
,Tennessee,,0,1,,,
,Illinois,,1,0,,,
,Virginia,,0,1,,,
,Texas,,1,3,,,
,Illinois,,0,0,,,
,South Carolina,,4,0,,,
,Illinois,,0,0,,,
,Oregon,,1,0,,,
,Maryland,,0,0,,,
,Maryland,,0,0,,,
,Florida,,0,0,,,
,Pennsylvania,,0,0,,,
,Illinois,,0,0,,,
,South Carolina,,0,1,,,
,Maryland,,0,1,,,
,Louisiana,,0,1,,,
,Virginia,,0,1,,,
,Georgia,,0,0,,,
,Ohio,,0,1,,,
,Virginia,,0,0,,,
,Missouri,,1,0,,,
,Florida,,0,0,,,
,Illinois,,0,0,,,
,Louisiana,,0,0,,,
,West Virginia,,0,0,,,
,Massachusetts,,0,1,,,
,Connecticut,,1,0,,,
,Massachusetts,,0,0,,,
,Maryland,,1,0,,,
,Kentucky,,0,0,,,
,Texas,,1,1,,,
,Wisconsin,,0,0,,,
,New Jersey,,0,1,,,
,New Jersey,,0,1,,,
,Delaware,,0,1,,,
,Iowa,,0,0,,,
,Oklahoma,,0,1,,,
,Virginia,,0,1,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,South Carolina,,1,0,,,
,South Dakota,,1,2,,,
,New Jersey,,0,0,,,
,Wisconsin,,0,1,,,
,Illinois,,0,1,,,
,Illinois,,0,0,,,
,California,,0,0,,,
,Ohio,,0,0,,,
,California,,0,0,,,
,Ohio,,0,0,,,
,Texas,,0,1,,,
,Iowa,,0,1,,,
,Florida,,0,0,,,
,Ohio,,1,0,,,
,Louisiana,,0,0,,,
,Wisconsin,,1,1,,,
,Arkansas,,0,1,,,
,Texas,,0,1,,,
,Maine,,0,0,,,
,Oklahoma,,1,1,,,
,Missouri,,0,3,,,
,Colorado,,0,1,,,
,North Carolina,,0,1,,,
,Illinois,,0,3,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Kentucky,,0,0,,,
,North Carolina,,0,2,,,
,Ohio,,0,1,,,
,Missouri,,0,0,,,
,New Jersey,,0,0,,,
,Oklahoma,,2,0,,,
,Massachusetts,,0,0,,,
,Ohio,,0,0,,,
,North Carolina,,0,0,,,
,West Virginia,,0,0,,,
,California,,1,0,,,
,Georgia,,1,0,,,
,Illinois,,0,1,,,
,Louisiana,,0,0,,,
,Illinois,,0,1,,,
,Illinois,,0,0,,,
,Illinois,,0,2,,,
,Georgia,,0,0,,,
,Rhode Island,,0,0,,,
,Kansas,,0,3,,,
,New York,,1,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Indiana,,0,1,,,
,Texas,,1,0,,,
,Florida,,0,0,,,
,Oregon,,0,0,,,
,Virginia,,0,1,,,
,Florida,,0,0,,,
,North Dakota,,0,0,,,
,New Jersey,,0,1,,,
,New York,,0,1,,,
,New York,,0,1,,,
,New York,,0,1,,,
,Maryland,,0,0,,,
,Alabama,,1,0,,,
,District of Columbia,,0,1,,,
,New York,,1,0,,,
,New Jersey,,0,0,,,
,Illinois,,0,0,,,
,Massachusetts,,0,2,,,
,Illinois,,0,0,,,
,Mississippi,,0,1,,,
,Michigan,,0,0,,,
,Arizona,,0,1,,,
,Arizona,,0,1,,,
,Ohio,,1,0,,,
,Virginia,,0,0,,,
,Pennsylvania,,0,0,,,
,New York,,0,0,,,
,Texas,,0,1,,,
,New York,,0,0,,,
,New Jersey,,0,0,,,
,Tennessee,,0,0,,,
,Massachusetts,,0,2,,,
,Missouri,,0,1,,,
,Ohio,,1,0,,,
,Missouri,,0,0,,,
,Illinois,,0,1,,,
,Washington,,1,0,,,
,Tennessee,,1,0,,,
,North Carolina,,2,1,,,
,Virginia,,1,0,,,
,Ohio,,1,0,,,
,Louisiana,,1,0,,,
,Illinois,,0,1,,,
,California,,0,0,,,
,Louisiana,,1,0,,,
,California,,0,0,,,
,Florida,,0,0,,,
,Arkansas,,0,3,,,
,Virginia,,0,0,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Texas,,1,0,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Texas,,0,1,,,
,Pennsylvania,,1,0,,,
,Texas,,0,0,,,
,Virginia,,0,1,,,
,Arkansas,,0,2,,,
,Ohio,,0,1,,,
,Illinois,,1,0,,,
,Ohio,,0,1,,,
,Texas,,0,1,,,
,Ohio,,0,1,,,
,South Carolina,,0,1,,,
,West Virginia,,0,0,,,
,Nevada,,1,0,,,
,West Virginia,,0,0,,,
,Tennessee,,0,0,,,
,Illinois,,0,0,,,
,Florida,,0,0,,,
,Kansas,,0,0,,,
,Massachusetts,,0,0,,,
,Massachusetts,,0,0,,,
,Missouri,,1,0,,,
,Mississippi,,0,1,,,
,Florida,,0,1,,,
,Tennessee,,1,0,,,
,Ohio,,0,1,,,
,Virginia,,0,0,,,
,North Carolina,,0,2,,,
,Ohio,,1,1,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Illinois,,0,0,,,
,Mississippi,,0,2,,,
,Mississippi,,1,0,,,
,Illinois,,0,1,,,
,Illinois,,0,3,,,
,Massachusetts,,0,0,,,
,Illinois,,0,1,,,
,Alabama,,1,0,,,
,Texas,,0,0,,,
,Illinois,,0,3,,,
,Louisiana,,0,1,,,
,Oregon,,0,1,,,
,Missouri,,0,0,,,
,Missouri,,0,1,,,
,Illinois,,0,0,,,
,Texas,,0,0,,,
,New York,,0,0,,,
,Illinois,,0,1,,,
,California,,0,0,,,
,Texas,,0,1,,,
,Illinois,,0,0,,,
,Massachusetts,,0,0,,,
,Illinois,,0,0,,,
,Illinois,,0,0,,,
,Illinois,,0,0,,,
,Texas,,0,1,,,
,Texas,,1,1,,,
,Tennessee,,0,1,,,
,Illinois,,0,0,,,
,Texas,,0,0,,,
,Texas,,0,0,,,
,Maryland,,2,1,,,
,Illinois,,0,0,,,
,Illinois,,0,0,,,
,Illinois,,0,0,,,
,Illinois,,0,0,,,
,New York,,0,1,,,
,Illinois,,0,0,,,
,Indiana,,0,1,,,
,Pennsylvania,,0,0,,,
,Illinois,,0,0,,,
,Virginia,,1,0,,,
,North Carolina,,0,1,,,
,California,,1,0,,,
,California,,0,0,,,
,Illinois,,0,0,,,
,Georgia,,0,2,,,
,Illinois,,0,0,,,
,Arkansas,,0,0,,,
,Illinois,,0,0,,,
,Nevada,,0,1,,,
,Indiana,,0,1,,,
,Florida,,0,1,,,
,Illinois,,1,4,,,
,Indiana,,0,0,,,
,Pennsylvania,,0,0,,,
,Florida,,2,0,,,
,New York,,1,0,,,
,Illinois,,0,1,,,
,South Carolina,,1,0,,,
,New York,,0,1,,,
,Illinois,,0,0,,,
,Kentucky,,0,1,,,
,Ohio,,0,1,,,
,Michigan,,0,0,,,
,Wisconsin,,1,0,,,
,Illinois,,2,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,California,,0,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,California,,0,0,,,
,Georgia,,0,2,,,
,New York,,0,1,,,
,Florida,,0,0,,,
,Florida,,1,0,,,
,Kentucky,,0,2,,,
,Florida,,0,0,,,
,Kansas,,0,0,,,
,West Virginia,,0,0,,,
,Kansas,,0,0,,,
,Louisiana,,0,1,,,
,Pennsylvania,,0,1,,,
,Missouri,,1,0,,,
,Kentucky,,0,0,,,
,Idaho,,1,0,,,
,Indiana,,0,1,,,
,Texas,,0,0,,,
,Georgia,,1,0,,,
,Michigan,,0,1,,,
,Idaho,,0,0,,,
,Virginia,,0,1,,,
,Florida,,0,0,,,
,Kentucky,,0,0,,,
,California,,0,1,,,
,Alaska,,0,1,,,
,Massachusetts,,0,0,,,
,Mississippi,,0,0,,,
,California,,0,1,,,
,Virginia,,0,1,,,
,Louisiana,,0,0,,,
,Illinois,,1,0,,,
,Virginia,,0,2,,,
,Massachusetts,,0,1,,,
,South Carolina,,0,1,,,
,South Carolina,,0,1,,,
,Illinois,,1,0,,,
,Virginia,,0,0,,,
,Michigan,,1,0,,,
,California,,0,0,,,
,North Carolina,,1,0,,,
,North Carolina,,0,1,,,
,Arizona,,1,0,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Nevada,,0,1,,,
,Louisiana,,0,1,,,
,Maryland,,1,0,,,
,Illinois,,0,0,,,
,Kentucky,,0,0,,,
,Delaware,,0,1,,,
,Pennsylvania,,1,1,,,
,North Carolina,,0,1,,,
,Connecticut,,0,0,,,
,Texas,,0,2,,,
,North Carolina,,0,0,,,
,Washington,,0,0,,,
,Tennessee,,0,1,,,
,Florida,,0,0,,,
,California,,0,1,,,
,Louisiana,,0,1,,,
,Louisiana,,0,1,,,
,Michigan,,0,1,,,
,Texas,,0,2,,,
,Tennessee,,0,0,,,
,New Jersey,,1,0,,,
,Michigan,,0,0,,,
,Louisiana,,0,1,,,
,Kentucky,,0,0,,,
,Illinois,,0,0,,,
,Kentucky,,0,1,,,
,California,,1,0,,,
,Illinois,,0,0,,,
,Mississippi,,0,1,,,
,New Jersey,,0,0,,,
,Maine,,0,0,,,
,Ohio,,0,1,,,
,New York,,0,0,,,
,Maryland,,1,0,,,
,North Carolina,,0,1,,,
,North Carolina,,1,0,,,
,Missouri,,1,0,,,
,Ohio,,0,1,,,
,Wisconsin,,1,0,,,
,Nevada,,0,0,,,
,Illinois,,0,1,,,
,Florida,,0,0,,,
,Florida,,0,0,,,
,Wisconsin,,0,1,,,
,Florida,,0,2,,,
,Nevada,,1,0,,,
,Arkansas,,1,0,,,
,North Carolina,,0,0,,,
,Illinois,,0,1,,,
,District of Columbia,,0,1,,,
,New York,,0,0,,,
,Illinois,,0,1,,,
,Illinois,,0,2,,,
,North Carolina,,0,0,,,
,Ohio,,0,1,,,
,Florida,,0,1,,,
,Florida,,0,3,,,
,Florida,,1,0,,,
,California,,0,0,,,
,California,,0,1,,,
,Illinois,,0,1,,,
,California,,0,1,,,
,Florida,,0,1,,,
,North Carolina,,1,0,,,
,Texas,,0,0,,,
,New Jersey,,0,1,,,
,Arkansas,,0,1,,,
,North Carolina,,0,1,,,
,New Jersey,,0,0,,,
,Kentucky,,0,0,,,
,North Carolina,,0,1,,,
,New York,,1,1,,,
,New Mexico,,0,0,,,
,Massachusetts,,0,0,,,
,Virginia,,0,1,,,
,Florida,,0,0,,,
,Texas,,1,0,,,
,North Carolina,,0,1,,,
,New York,,0,1,,,
,Florida,,1,0,,,
,Ohio,,1,0,,,
,Arizona,,0,0,,,
,Texas,,0,1,,,
,Arkansas,,1,1,,,
,Indiana,,0,1,,,
,North Carolina,,0,0,,,
,Mississippi,,1,1,,,
,Michigan,,0,0,,,
,Michigan,,0,0,,,
,Alabama,,0,1,,,
,Texas,,0,0,,,
,Illinois,,1,1,,,
,Georgia,,0,1,,,
,Texas,,0,0,,,
,Tennessee,,0,1,,,
,Louisiana,,0,1,,,
,New Jersey,,1,0,,,
,Pennsylvania,,1,0,,,
,Minnesota,,0,0,,,
,Michigan,,0,1,,,
,Oklahoma,,0,1,,,
,Connecticut,,0,0,,,
,Florida,,0,1,,,
,Colorado,,1,1,,,
,Texas,,0,0,,,
,New York,,0,1,,,
,Ohio,,1,0,,,
,South Carolina,,0,1,,,
,Minnesota,,0,1,,,
,Pennsylvania,,1,0,,,
,Texas,,0,0,,,
,Texas,,1,0,,,
,Texas,,0,1,,,
,Texas,,0,1,,,
,North Dakota,,0,0,,,
,Kansas,,0,1,,,
,Louisiana,,0,1,,,
,Oregon,,0,0,,,
,Texas,,1,0,,,
,California,,0,0,,,
,Maryland,,0,0,,,
,Iowa,,0,0,,,
,Pennsylvania,,0,1,,,
,Florida,,0,1,,,
,Ohio,,0,1,,,
,Kentucky,,0,0,,,
,California,,0,0,,,
,Michigan,,0,1,,,
,South Carolina,,0,1,,,
,Tennessee,,0,0,,,
,North Carolina,,1,0,,,
,Tennessee,,0,0,,,
,Texas,,0,1,,,
,Massachusetts,,0,0,,,
,Kentucky,,0,1,,,
,Oregon,,1,0,,,
,North Carolina,,0,1,,,
,Kansas,,0,0,,,
,Iowa,,0,0,,,
,Texas,,0,0,,,
,Michigan,,0,1,,,
,Texas,,0,0,,,
,Indiana,,0,1,,,
,Wisconsin,,0,0,,,
,Illinois,,0,1,,,
,Illinois,,0,1,,,
,Alabama,,0,1,,,
,Indiana,,0,0,,,
,New York,,0,0,,,
,North Carolina,,0,1,,,
,Indiana,,1,0,,,
,Vermont,,1,1,,,
,North Carolina,,0,1,,,
,Indiana,,0,1,,,
,Georgia,,0,0,,,
,Georgia,,1,0,,,
,Maine,,0,0,,,
,Texas,,0,1,,,
,Missouri,,1,0,,,
,Kansas,,0,0,,,
,Florida,,0,1,,,
,Wisconsin,,0,0,,,
,Delaware,,0,0,,,
,Wyoming,,0,0,,,
,Oregon,,0,1,,,
,Nevada,,0,1,,,
,Florida,,0,0,,,
,Pennsylvania,,0,0,,,
,North Carolina,,0,0,,,
,Nevada,,0,1,,,
,New Jersey,,0,0,,,
,Connecticut,,0,1,,,
,Tennessee,,1,0,,,
,Wisconsin,,0,0,,,
,Maryland,,1,1,,,
,Florida,,0,0,,,
,Texas,,1,0,,,
,California,,1,0,,,
,Ohio,,0,0,,,
,North Carolina,,0,1,,,
,South Carolina,,0,0,,,
,Pennsylvania,,0,1,,,
,Texas,,0,1,,,
,Arkansas,,0,0,,,
,Illinois,,0,1,,,
,Florida,,0,0,,,
,Michigan,,1,0,,,
,South Dakota,,0,1,,,
,Arkansas,,1,0,,,
,Illinois,,0,0,,,
,Louisiana,,0,0,,,
,Georgia,,0,1,,,
,Virginia,,0,1,,,
,Illinois,,0,1,,,
,Ohio,,1,0,,,
,Tennessee,,0,1,,,
,Mississippi,,0,1,,,
,Louisiana,,1,0,,,
,Mississippi,,0,0,,,
,New Mexico,,0,1,,,
,Missouri,,0,0,,,
,Indiana,,0,0,,,
,Kentucky,,0,1,,,
,Mississippi,,1,1,,,
,Kentucky,,0,0,,,
,California,,0,1,,,
,California,,0,0,,,
,Oklahoma,,1,0,,,
,Tennessee,,0,2,,,
,Louisiana,,0,0,,,
,Illinois,,0,0,,,
,Illinois,,0,1,,,
,Indiana,,0,1,,,
,Alabama,,0,0,,,
,Illinois,,1,0,,,
,Texas,,1,0,,,
,Missouri,,1,0,,,
